,Molecule_ID,Sub_ID,mf
0,1,Geom-m1-i1-c1-d1,CH4
18382,17,Geom-m17-i1-c1-d1,C4H8
22321,19,Geom-m19-i1-c1-d1,C4H10
25957,2,Geom-m2-i1-c1-d1,C2H6
28482,21,Geom-m21-i1-c1-d1,C4H6
29896,218,Geom-m218-i1-c1-d1,C6H10
30199,22,Geom-m22-i1-c1-d1,C4H4
30300,222,Geom-m222-i1-c1-d1,C6H12
33532,23,Geom-m23-i1-c1-d1,C4H2
35047,233,Geom-m233-i1-c1-d1,C6H14
37875,241,Geom-m241-i1-c1-d1,C6H8
42622,265,Geom-m265-i1-c1-d1,C6H6
82820,4,Geom-m4-i1-c1-d1,C2H2
183012,6,Geom-m6-i1-c1-d1,C3H8
186143,61,Geom-m61-i1-c1-d1,C5H10
204222,65,Geom-m65-i1-c1-d1,C5H12
212807,69,Geom-m69-i1-c1-d1,C5H8
215231,7,Geom-m7-i1-c1-d1,C3H6
219372,71,Geom-m71-i1-c1-d1,C5H6
264721,8,Geom-m8-i1-c1-d1,C3H4
413999,1174,Geom-m1174-i1-c1-d1,C7H12
416120,1181,Geom-m1181-i1-c1-d1,C7H14
442481,1219,Geom-m1219-i1-c1-d1,C7H16
451975,1229,Geom-m1229-i1-c1-d1,C7H8
452177,1230,Geom-m1230-i1-c1-d1,C7H10
